2008-12-24 13:58:46 Notice: Notice (8): Undefined index:  username in [APP/models/user.php, line 20]
2008-12-24 13:58:46 Notice: Notice (8): Undefined index:  password in [APP/models/user.php, line 21]
2008-12-24 14:00:54 Notice: Notice (8): Undefined index:  username in [APP/models/user.php, line 20]
2008-12-24 14:00:54 Notice: Notice (8): Undefined index:  password in [APP/models/user.php, line 21]
2008-12-24 14:02:27 Notice: Notice (8): Undefined index:  username in [APP/models/user.php, line 20]
2008-12-24 14:02:27 Notice: Notice (8): Undefined index:  password in [APP/models/user.php, line 21]
2008-12-24 14:03:19 Notice: Notice (8): Undefined index:  username in [APP/models/user.php, line 20]
2008-12-24 14:03:19 Notice: Notice (8): Undefined index:  password in [APP/models/user.php, line 21]
2008-12-24 14:03:31 Notice: Notice (8): Undefined index:  username in [APP/models/user.php, line 20]
2008-12-24 14:03:31 Notice: Notice (8): Undefined index:  password in [APP/models/user.php, line 21]
2008-12-24 15:39:06 Notice: Notice (8): Undefined index:  username in [APP/models/user.php, line 20]
2008-12-24 15:39:06 Notice: Notice (8): Undefined index:  password in [APP/models/user.php, line 21]
2008-12-24 15:39:15 Notice: Notice (8): Undefined index:  username in [APP/models/user.php, line 20]
2008-12-24 15:39:15 Notice: Notice (8): Undefined index:  password in [APP/models/user.php, line 21]
2008-12-25 19:14:30 Notice: Notice (8): Undefined variable: path in [APP/controllers/cards_controller.php, line 25]
2008-12-25 19:14:30 Notice: Notice (8): Undefined index:  userfile in [APP/controllers/cards_controller.php, line 27]
2008-12-25 19:14:30 Notice: Notice (8): Undefined index:  userfile in [APP/controllers/cards_controller.php, line 30]
2008-12-26 14:09:19 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:09:31 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:09:52 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:11:20 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:13:38 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:16:38 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:16:43 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:16:50 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:16:55 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:17:00 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:17:05 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
